span_xb,von_mises_MPa,allowable_MPa,load_case,notes
0.0,186,240,+3.0g pull-up,concept FEA placeholder
0.1,162,240,+3.0g pull-up,concept FEA placeholder
0.2,141,240,+3.0g pull-up,concept FEA placeholder
0.3,118,240,+3.0g pull-up,concept FEA placeholder
0.4,97,240,+3.0g pull-up,concept FEA placeholder
0.5,78,240,+3.0g pull-up,concept FEA placeholder
0.6,61,240,+3.0g pull-up,concept FEA placeholder
0.7,46,240,+3.0g pull-up,concept FEA placeholder
0.8,33,240,+3.0g pull-up,concept FEA placeholder
0.9,21,240,+3.0g pull-up,concept FEA placeholder
1.0,12,240,+3.0g pull-up,concept FEA placeholder
