time_s,q_nose_W_cm2,q_le_W_cm2,notes
0,2,1,concept CBAERO-style placeholder
10,8,4,concept CBAERO-style placeholder
20,21,11,concept CBAERO-style placeholder
30,46,22,concept CBAERO-style placeholder
40,71,34,concept CBAERO-style placeholder
50,88,41,concept CBAERO-style placeholder
60,79,37,concept CBAERO-style placeholder
80,54,26,concept CBAERO-style placeholder
100,33,16,concept CBAERO-style placeholder
120,21,11,concept CBAERO-style placeholder
150,14,7,concept CBAERO-style placeholder
180,9,5,concept CBAERO-style placeholder
